event_id,sample_btc,p_coprec_ugL,conc_corr_ugL,sigma_label,sigma_molm2,p_coprec_ugL_sens,frac_of_srp_sens
RA_20231005_downstream,10,0.05552069771787137,12.5172,field_low,5.5e-8,0.05552069771787137,0.004435552497193571
RA_20231005_downstream,10,0.05552069771787137,12.5172,lab_ceiling,1.5e-7,0.1514200846851037,0.012096961355982464
RA_20231005_downstream,11,0.021779391898304412,1.1647,field_high,9.5e-8,0.0376189496425258,0.032299261305508545
RA_20231005_downstream,11,0.021779391898304412,1.1647,field_low,5.5e-8,0.021779391898304412,0.018699572334768103
RA_20231005_downstream,11,0.021779391898304412,1.1647,lab_ceiling,1.5e-7,0.05939834154083021,0.05099883364027664
RA_20231005_downstream,12,0.02879623183399008,3.484,field_high,9.5e-8,0.04973894589507378,0.014276390899848961
RA_20231005_downstream,12,0.02879623183399008,3.484,field_low,5.5e-8,0.02879623183399008,0.008265278942017819
RA_20231005_downstream,12,0.02879623183399008,3.484,lab_ceiling,1.5e-7,0.07853517772906385,0.022541669841866778
RA_20231005_downstream,13,0.014106496125415122,-1.3471,field_high,9.5e-8,0.02436576603480794,-0.018087570362117094
RA_20231005_downstream,13,0.014106496125415122,-1.3471,field_low,5.5e-8,0.014106496125415122,-0.010471751262278318
RA_20231005_downstream,13,0.014106496125415122,-1.3471,lab_ceiling,1.5e-7,0.03847226216022306,-0.028559321624395412
RA_20231005_downstream,14,0.3652803710318124,NA,field_high,9.5e-8,0.6309388226913123,NA
RA_20231005_downstream,14,0.3652803710318124,NA,field_low,5.5e-8,0.3652803710318124,NA
RA_20231005_downstream,14,0.3652803710318124,NA,lab_ceiling,1.5e-7,0.9962191937231246,NA
RA_20231005_downstream,15,0.01664590511558791,-0.5186,field_high,9.5e-8,0.028752017926924573,-0.05544160803494905
RA_20231005_downstream,15,0.01664590511558791,-0.5186,field_low,5.5e-8,0.01664590511558791,-0.03209777307286524
RA_20231005_downstream,15,0.01664590511558791,-0.5186,lab_ceiling,1.5e-7,0.04539792304251248,-0.08753938110781427
RA_20231005_downstream,16,0.17513151606039468,57.2618,field_high,9.5e-8,0.30249989137704536,0.005282752050704752
RA_20231005_downstream,16,0.17513151606039468,57.2618,field_low,5.5e-8,0.17513151606039468,0.003058435397776435
RA_20231005_downstream,16,0.17513151606039468,57.2618,lab_ceiling,1.5e-7,0.47763140743744,0.008341187448481186
RA_20231005_downstream,17,0.019234153914168516,0.3287,field_high,9.5e-8,0.03322262948810926,0.10107280038974524
RA_20231005_downstream,17,0.019234153914168516,0.3287,field_low,5.5e-8,0.019234153914168516,0.05851583180458934
RA_20231005_downstream,17,0.019234153914168516,0.3287,lab_ceiling,1.5e-7,0.05245678340227777,0.15958863219433456
RA_20231005_downstream,18,0.02746697986472145,3.043,field_high,9.5e-8,0.0474429652208825,0.015590852849452021
