stream,date,sample_btc,a_PO4,a_HPO4,a_H2PO4
RC,20231007,4,1.0443382673898519e-11,1.2367407854856415e-7,1.122396804610518e-8
RC,20231007,5,4.3887175860288046e-11,5.197268168852583e-7,4.716750069120921e-8
RC,20231007,6,4.0225364872705194e-11,4.7636240959984837e-7,4.323198948771483e-8
RC,20231007,7,4.565159964464373e-11,5.40621721583594e-7,4.906380544167023e-8
RC,20231007,8,3.390627155601367e-11,4.015295639972962e-7,3.6440578727275134e-8
RC,20231007,9,3.51519398730873e-11,4.162811905632997e-7,3.7779353894618716e-8
RC,20231007,10,5.0637574909748277e-11,5.996673312134048e-7,5.442245491394075e-8
RC,20231007,11,6.090258561755411e-11,7.212290684608531e-7,6.545471867128622e-8
RC,20231007,12,8.07700521921722e-11,9.565063438834417e-7,8.680716901746601e-8
RC,20231007,13,5.254368466678078e-11,6.22240129240101e-7,5.647103588366531e-8
RC,20231007,14,4.3156133426764275e-11,5.110695645208562e-7,4.638181685959714e-8
RC,20231007,15,4.010131647752274e-11,4.7489338644435665e-7,4.3098669157782046e-8
RC,20231007,16,1.1532781463802336e-10,1.3657510838921258e-6,1.2394793399264565e-7
RC,20231007,17,1.906691635075423e-11,2.2579688823772727e-7,2.049206339948624e-8
RC,20231007,18,1.7340730056124712e-11,2.0535480485749884e-7,1.863685418064093e-8
RC,20231007,19,1.4226292587342604e-11,1.6847258037371865e-7,1.5289629653613927e-8
RC,20231007,20,9.269431625245771e-12,1.0977175219159594e-7,9.9622706182495e-9
RC,20231007,21,8.886787810033528e-12,1.0524035439297273e-7,9.551026284005612e-9
RC,20231007,22,4.486389888191697e-12,5.312935020742462e-8,4.821722838260749e-9
RC,20231007,23,4.1873349928922835e-12,4.958784073999594e-8,4.5003152356013955e-9
RC,20231007,24,1.681272386110732e-11,1.991019764707815e-7,1.8069382428807856e-8
RS,20231011,3,1.5304848612975227e-12,8.781892126111758e-8,3.764894581165268e-8
RS,20231011,4,1.2602111692016884e-11,7.231066980086235e-7,3.100038636141113e-7
RS,20231011,5,6.683796784185139e-11,3.83514948993383e-6,1.6441711336533627e-6
RS,20231011,6,2.3560270367335848e-12,1.351883694246808e-7,5.795675375813333e-8
RS,20231011,7,2.8042027614003564e-12,1.60904604632841e-7,6.898158908892678e-8
RS,20231011,8,3.877314170609326e-12,2.2247952688972231e-7,9.53794413753736e-8
RS,20231011,9,3.665580626240215e-12,2.103302976281376e-7,9.017093200684338e-8
RS,20231011,10,4.663700737662706e-12,2.676022339214752e-7,1.1472404647320092e-7
RS,20231011,11,3.769066176492445e-12,2.1626827821133654e-7,9.271661015908062e-8
RS,20231011,12,5.175516001069239e-12,2.9697009338480364e-7,1.2731437363346638e-7
RS,20231011,13,5.710163957216463e-12,3.27648088280816e-7,1.4046637038842456e-7
RS,20231011,14,4.788262175313699e-12,2.7474954479129297e-7,1.1778817793567688e-7
RS,20231011,15,5.016511593067511e-12,2.8784645162944703e-7,1.2340296719485903e-7
RS,20231011,16,2.2369891031457043e-11,1.283579961350175e-6,5.502849695239014e-7
RS,20231011,17,5.03481242847831e-12,2.888965499770976e-7,1.2385315600633427e-7
RS,20231011,18,3.776901020948705e-12,2.1671784005006878e-7,9.290934230680395e-8
RS,20231011,19,3.776901020948705e-12,2.1671784005006878e-7,9.290934230680395e-8
RS,20231011,20,2.472286767665555e-12,1.418593299906656e-7,6.081666856070398e-8
RS,20231011,21,9.90150606194057e-13,5.6814647645900546e-8,2.4357069750021033e-8
RS,20231011,22,1.9117570843212566e-12,1.0969624666268099e-7,4.7027997919322066e-8
RS,20231011,23,1.7021552188917316e-12,9.766933272069405e-8,4.1871926485275197e-8
SR,20231011,4,2.862187554163401e-12,9.863903215739876e-8,2.5039351784535627e-8
SR,20231011,5,3.458092260591885e-12,1.1917558414353325e-7,3.0252520835116854e-8
SR,20231011,6,3.682875441565619e-12,1.2692224469492122e-7,3.2218997537686835e-8
SR,20231011,7,1.7878259350371299e-12,6.161350944365516e-8,1.564048535246869e-8
SR,20231011,8,4.242551725294313e-12,1.4621026335328803e-7,3.711522851086648e-8
SR,20231011,9,4.144875795950075e-12,1.4284407614393617e-7,3.6260727570781687e-8
SR,20231011,10,3.188480499871217e-11,1.0988400466717983e-6,2.7893869071673476e-7
SR,20231011,11,4.463907560016764e-12,1.5383880791447693e-7,3.905172166873554e-8
SR,20231011,12,3.3900940949720284e-12,1.168321761319013e-7,2.965765066765256e-8
SR,20231011,14,4.235996774857101e-12,1.4598436132739648e-7,3.705788366297607e-8
SR,20231011,15,5.961977454904151e-12,2.0546650936293029e-7,5.215732652029143e-8
SR,20231011,16,5.990027267803562e-12,2.0643318479709886e-7,5.2402715447252945e-8
SR,20231011,17,3.278872560637212e-11,1.1299916928163758e-6,2.8684648349836555e-7
SR,20231011,18,5.131780742432721e-12,1.7685559597281463e-7,4.489449445895466e-8
SR,20231011,19,1.0929802097594932e-11,3.7667171706146154e-7,9.561747945516025e-8
SR,20231011,20,7.822441318410304e-12,2.6958332609393654e-7,6.843327220141334e-8
SR,20231011,21,6.972927206622424e-12,2.4030668079900574e-7,6.10014452199696e-8
SR,20231011,22,9.130867942597542e-12,3.146753871194495e-7,7.987981576548565e-8
SR,20231011,23,8.156926649233487e-12,2.8111063123341043e-7,7.135945914994684e-8
SR,20231011,24,8.532602409357358e-12,2.940574744022695e-7,7.46459934306865e-8
SR,20231011,25,6.096953730631985e-12,2.1011817140465714e-7,5.3338143076355375e-8
SR,20231011,26,6.871719492553566e-12,2.368187783559614e-7,6.011604707329952e-8
SR,20231011,27,3.394381675954337e-11,1.169799382300823e-6,2.9695159826814654e-7
SR,20231011,28,1.219908734186864e-11,4.204148560618054e-7,1.0672160144047831e-7
SR,20231011,29,1.0496331875402715e-11,3.6173311420019906e-7,9.18253403391182e-8
SR,20231011,30,6.7005093614831225e-12,2.309183957623175e-7,5.861824491330026e-8
SR,20231011,31,2.0182821823984377e-12,6.955567981655005e-8,1.765659189315641e-8
